NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
3710,1.553753,-0.4785,7.96,5.94,0.009080697,0.02767048,1525.3645,1010.023,1.19,0.688,-60.39,0.421,0.009,2.123
3711,0.8462426,0.1813,4.69,3.96,0.008345498,0.02767048,3538.9851,1015.0126,0.798,0.789,21.31,0.011,0.023,1.372
3712,0.8049794,0.2355,6.78,5.94,0.009064883,0.02767048,1519.4161,1014.7586,0.747,0.454,-71.15,0.392,0.021,1.483
3713,0.8351579,0.1956,8.72,3.96,0.008742817,0.02767048,1306.3295,1015.9265,0.939,0.685,22.86,0.27,0.011,1.341
3714,1.980345,-0.7419,6.58,5.28,0.008873914,0.02767048,1024.9965,1013.5369,1.882,0.83,-13.87,0.559,0,3.095
3715,114.4772,-5.1468,3.84,7.26,0.01050762,0.02767048,426.4324,916.4202,7.41,5.992,31.5,0.191,0.003,7.157
3716,1.510618,-0.4479,4.39,3.96,0.009158846,0.02767048,1578.9937,1012.5012,1.398,1.178,30.68,0.157,0.006,1.709
3717,1.535404,-0.4656,6.9,6.6,0.009484382,0.02767048,1819.8389,1011.6619,1.543,0.979,39.17,0.366,0.01,2.432
3718,6.843917,-2.0883,8.67,3.96,0.009206335,0.02767048,2404.4878,1012.0159,1.864,0.918,-19.79,0.508,0,7.755
3719,0.9016783,0.1124,3.94,4.62,0.008684802,0.02767048,2631.8005,1014.7452,1.104,0.674,70.42,0.389,0.074,1.623
3720,1.244843,-0.2378,3.5,5.28,0.009453879,0.02767048,1964.1212,1016.6798,1.259,0.663,4.01,0.473,0.011,1.464
3721,0.6860315,0.4091,3.5,9.24,0.01124283,0.02767048,164.2946,1017.9703,0.749,0.691,-86.51,0.077,0.054,1.527
3722,0.8158798,0.2209,4.16,3.5,0.008823229,0.02767048,1360.4487,1018.1129,1.129,0.586,26.14,0.481,0.636,1.58
3723,0.9026165,0.1112,4.79,4.62,0.01067744,0.02767048,321.0375,1015.6289,1.49,0.639,34.42,0.571,0.001,1.649
3724,4.068855,-1.5237,4.9,4.62,0.008944478,0.02767048,917.9278,1006.4431,1.82,1.599,31.83,0.121,0,2.818
3725,3.606313,-1.3927,3.5,4.62,0.009445978,0.02767048,2299.748,1007.4639,2.46,1.557,-35.64,0.367,0,3.43
3726,1.22474,-0.2201,3.5,3.5,0.0107972,0.02767048,289.2393,1015.083,1.617,0.714,-45.5,0.559,0.001,1.924
3727,2.966635,-1.1807,8.55,4.62,0.009445744,0.02767048,2087.001,1015.1989,1.227,0.943,50.09,0.232,0.009,4.424
3728,1.49506,-0.4366,3.5,4.62,0.00927711,0.02767048,1654.2482,1011.3124,1.787,0.776,75.1,0.566,0.004,2.008
3729,3.829452,-1.4578,3.5,3.96,0.008605762,0.02767048,2671.553,1008.9637,2.648,1.7,-24.96,0.358,0,3.27
3730,3.334631,-1.3076,3.54,4.62,0.009157933,0.02767048,1568.2278,1002.6914,2.033,1.627,-76.22,0.2,0.001,2.292
3731,2.421577,-0.9602,3.5,4.62,0.008709284,0.02767048,1275.4659,1009.4643,2.025,1.224,53.41,0.395,0,2.556
3732,5.240429,-1.7984,3.5,5.28,0.009155259,0.02767048,738.855,999.1463,2.82,1.744,71.44,0.381,0,3.783
3733,1.169731,-0.1702,3.5,3.5,0.00836161,0.02767048,3561.1016,1019.8454,1.17,0.984,-14.3,0.158,0.007,1.868
3734,0.9586822,0.0458,7.04,3.5,0.008618828,0.02767048,3859.3914,1021.7875,0.754,0.456,-73.08,0.395,0.882,2.098
3735,12.44203,-2.7372,3.5,5.94,0.01093134,0.02767048,274.8831,987.9032,3.422,3.279,3.99,0.042,0,4.528
3736,0.9577334,0.0469,6.66,3.5,0.008260125,0.02767048,2851.0745,1015.5113,1.542,0.71,66.05,0.54,0.01,2.148
3737,2.326918,-0.917,3.5,5.94,0.01158311,0.02767048,73.5048,1014.7989,2.119,1.417,-26.13,0.331,0,2.63
3738,3.768008,-1.4403,6.35,3.5,0.009431772,0.02767048,2132.4497,1018.0374,2.239,1.374,-14.04,0.386,0.004,3.564
3739,11.14562,-2.6178,7.07,8.58,0.009522573,0.02767048,1859.151,997.1785,4.159,1.601,40.19,0.615,0,8.728
3740,0.7551351,0.3049,4.68,4.62,0.01139032,0.02767048,119.1848,1022.4644,1.067,0.722,-50.88,0.323,0.209,1.147
3741,3.794485,-1.4479,7.41,5.28,0.008235442,0.02767048,3412.6248,1017.7532,1.457,1.313,19.13,0.099,0.01,5.149
3742,5.9923,-1.944,7.12,4.62,0.008656538,0.02767048,3903.0999,1008.4352,2.256,1.472,-72.78,0.347,0.001,4.522
3743,2.107853,-0.8096,4.07,3.5,0.009497423,0.02767048,645.1168,1012.8776,1.992,1.268,-89.99,0.364,0.002,2.46
3744,1.085807,-0.0894,3.5,7.26,0.00943228,0.02767048,1976.3177,1023.6735,1.137,0.568,-45.1,0.5,0.243,1.738
3745,0.6282896,0.5046,3.5,5.28,0.009415429,0.02767048,2045.4966,1027.0327,0.791,0.499,87.13,0.369,0.664,1.097
3746,3.926373,-1.485,6.8,10.56,0.009431038,0.02767048,2086.6035,1019.8716,2.193,1.253,-28.39,0.429,0.001,5.337
3747,4.491553,-1.631,5.56,3.5,0.009884667,0.02767048,544.4457,1001.3348,2.551,1.544,-51.37,0.395,0,4.455
3748,17.40931,-3.102,5,6.6,0.008256047,0.02767048,3000.7097,995.4717,3.702,3.035,1.06,0.18,0,5.083
3749,3.454155,-1.3459,3.5,5.28,0.00820241,0.02767048,3180.3694,1009.4805,2.186,1.83,53.17,0.163,0,3.386
3750,10.60184,-2.5635,6.26,5.94,0.009803537,0.02767048,565.3373,1002.5292,3.413,2.191,13.89,0.358,0,6.26
3751,1.65298,-0.5457,6.87,3.5,0.008223603,0.02767048,3405.5107,1024.8396,1.589,0.632,-29.23,0.602,0.012,3.926
3752,0.6574469,0.4553,4.55,4.62,0.008226382,0.02767048,3411.9756,1028.0459,0.786,0.781,-57.58,0.006,0.009,1.025
3753,0.9328645,0.0755,3.5,6.6,0.008745232,0.02767048,1219.8894,1023.0983,1.133,0.668,83.45,0.411,0.009,1.904
3754,0.8244817,0.2095,6.86,5.94,0.009396678,0.02767048,2177.7588,1028.1702,0.999,0.348,45.1,0.652,0.017,1.92
3755,3.143957,-1.2437,3.5,3.5,0.008841624,0.02767048,1074.3319,1013.9637,2.044,1.847,45.45,0.096,0,2.803
3756,6.764498,-2.0756,4.53,6.6,0.01044113,0.02767048,398.8625,994.6217,2.797,2.454,66.67,0.123,0,4.68
3757,0.8585751,0.1656,3.5,7.26,0.008450816,0.02767048,3667.0408,1026.7305,1.049,0.635,54.46,0.395,0.24,1.652
3758,0.6955083,0.3942,3.5,4.62,0.009260278,0.02767048,707.7162,1028.9889,0.744,0.686,84.49,0.077,0.011,1.473
3759,0.8951704,0.1202,3.5,4.62,0.008864506,0.02767048,1038.5046,1029.0153,1.006,0.665,-28.39,0.339,0.013,1.31
3760,8.180379,-2.2819,3.5,5.94,0.01052958,0.02767048,366.8654,1007.8557,3.989,2.221,11.57,0.443,0,4.23
3761,1.422523,-0.3826,3.5,3.5,0.009032775,0.02767048,1505.8118,1024.8367,1.388,0.962,35.89,0.307,0,2.251
3762,0.948777,0.0571,3.5,3.96,0.009409264,0.02767048,2097.115,1027.3285,0.954,0.682,-68.87,0.285,0.005,1.681
3763,0.8361647,0.1943,3.5,3.96,0.008983993,0.02767048,1477.443,1031.3411,1.058,0.643,5.11,0.392,0.015,1.896
3764,1.920491,-0.7085,7.7,5.28,0.008184003,0.02767048,3162.0027,1028.5195,1.823,0.813,-19.84,0.554,0.009,3.061
3765,4.943096,-1.735,4.26,3.96,0.008934713,0.02767048,1434.1685,1016.9556,2.197,1.841,-16.62,0.162,0,3.127
3766,6.50437,-2.033,5.87,5.94,0.01073695,0.02767048,313.9589,1003.9235,3.448,2.1,64.94,0.391,0,4.501
3767,3.259346,-1.2828,3.5,5.28,0.01077269,0.02767048,290.0072,1022.2521,2.48,1.315,21.49,0.47,0,2.912
3768,2.587024,-1.032,4.98,3.96,0.009436414,0.02767048,1868.4948,1026.9764,1.661,1.038,-30.82,0.375,0.011,2.393
3769,2.293153,-0.9011,6.1,4.62,0.009359472,0.02767048,2314.5159,1027.9773,1.582,1.062,-32.78,0.329,0.002,2.948
3770,1.581985,-0.498,7.59,5.94,0.009881508,0.02767048,530.9384,1035.6021,1.55,0.465,-5.9,0.7,0.001,2.969
3771,0.6083351,0.5396,5.8,3.5,0.008165424,0.02767048,3347.5857,1033.2135,0.741,0.453,-70.73,0.389,0.079,1.039
3772,1.10337,-0.1068,7.6,5.94,0.008593629,0.02767048,3829.8184,1032.702,0.866,0.608,-30.49,0.298,0,1.956
3773,1.668658,-0.5559,7.78,7.26,0.008172853,0.02767048,3204.3838,1031.5417,0.972,0.831,78.14,0.145,0.008,2.823
3774,0.8487207,0.1781,4.86,3.5,0.008714654,0.02767048,1266.0074,1034.2947,0.735,0.692,1.71,0.059,0.004,1.753
3775,90.20566,-4.8881,3.97,6.6,0.008226103,0.02767048,3324.3564,954.5511,5.503,5.094,63.69,0.074,0.01,6.025
3776,1.41066,-0.3736,3.61,5.28,0.008677964,0.02767048,3927.6458,1030.0126,1.714,0.749,-35.8,0.563,0.005,2.291
3777,10.94712,-2.5982,5.03,5.28,0.009699212,0.02767048,595.2111,995.9531,3.37,2.726,-89.19,0.191,0,4.379
3778,4.65842,-1.6706,6.4,5.28,0.008180439,0.02767048,3231.2493,1020.0966,2.21,2.048,-15.48,0.073,0,4.111
3779,5.746951,-1.8986,7.31,3.5,0.008802236,0.02767048,4073.2441,1023.4843,1.822,1.416,-89.17,0.223,0.002,8.837
3780,0.9426152,0.0642,7.68,7.92,0.008639397,0.02767048,3882.8914,1035.1809,0.842,0.677,41.85,0.196,0.228,1.785
3781,0.6217037,0.516,6.27,5.94,0.008179575,0.02767048,3368.01,1037.0182,0.624,0.618,-88.55,0.009,0.048,1.276
3782,1.296377,-0.2818,3.5,3.5,0.009926011,0.02767048,521.4728,1029.6619,1.589,0.85,-59.03,0.465,0.008,2.038
3783,0.7991456,0.2434,6.53,6.6,0.008573832,0.02767048,3808.49,1037.1426,0.917,0.68,34.34,0.258,0.01,1.74
3784,0.677592,0.4226,7.7,5.28,0.009280857,0.02767048,1695.0148,1037.0198,0.901,0.531,45.15,0.41,0.001,1.25
3785,2.857512,-1.14,4.62,5.28,0.008898158,0.02767048,987.7029,1027.9338,2.344,0.895,50.38,0.618,0.001,3.29
3786,3.297477,-1.2955,3.5,5.94,0.009155276,0.02767048,1580.5503,1016.9019,2.466,1.685,-55.17,0.317,0,2.628
3787,0.7382787,0.3294,3.5,4.62,0.008235199,0.02767048,2877.335,1030.7601,1.468,0.74,67.3,0.496,0.011,1.842
3788,2.867778,-1.1439,4.06,5.94,0.009435121,0.02767048,1902.8291,1026.0181,1.897,1.677,71.66,0.116,0,3.138
3789,4.880544,-1.7212,7.24,5.28,0.009200688,0.02767048,2378.0603,1034.8033,2.451,1.053,-6.1,0.57,0,8.301
3790,0.8827251,0.1354,7.73,7.26,0.008217348,0.02767048,2902.8069,1041,0.818,0.505,-30.99,0.382,0.007,1.856
3791,1.531059,-0.4625,4.75,3.5,0.008256183,0.02767048,3450.5698,1034.3073,1.511,1.264,43.19,0.163,0,2.415
3792,2.983989,-1.187,4.2,7.26,0.008781667,0.02767048,4049.0461,1004.4053,2.618,1.539,-81.18,0.412,0,3.615
3793,0.7383862,0.3293,3.5,5.28,0.008141169,0.02767048,3321.1138,1041.8582,0.988,0.588,14.68,0.404,0.002,1.479
3794,1.381925,-0.3512,9.63,4.62,0.008224863,0.02767048,3422.7964,1041.6147,0.854,0.706,-49.23,0.173,0.162,3.892
3795,3.317497,-1.302,3.5,6.6,0.01057875,0.02767048,339.8563,1027.4594,2.353,1.502,-54.63,0.362,0.001,2.999
3796,2.275083,-0.8925,6.77,5.28,0.008931085,0.02767048,937.925,1035.1024,1.481,1.123,-83.12,0.242,0,2.447
3797,0.7338548,0.336,3.5,7.92,0.008617971,0.02767048,3857.9517,1042.9583,0.897,0.533,43.97,0.406,0.006,1.375
