NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
6734,0.8051661,0.2353,3.86,4.62,0.002836482,0.02752947,2063.8616,2512.092,0.837,0.67,49.9,0.2,0.058,1.514
6735,0.8777279,0.1416,5.04,5.28,0.002716185,0.02752947,1911.3666,2512.3149,0.892,0.521,-46.4,0.416,0.035,1.703
6736,0.4403564,0.8905,5.38,5.94,0.002691757,0.02752947,3632.9072,2513.1536,0.85,0.66,42.75,0.223,0.08,1.035
6737,18.6109,-3.1744,3.5,5.94,0.002969619,0.02752947,2307.5371,2570.0325,4.66,3.568,-79.26,0.234,0,5.501
6738,0.7702533,0.2834,4.38,3.5,0.002426172,0.02752947,1303.1196,2511.356,1.086,0.418,-13.5,0.616,0.017,1.836
6739,0.8943278,0.1213,3.5,8.58,0.002769408,0.02752947,843.4369,2514.4763,1.064,0.499,0.84,0.531,0.023,1.435
6740,0.9619483,0.0421,6.94,5.28,0.002818653,0.02752947,2669.7209,2519.7349,1.185,0.722,-81.26,0.39,0.009,1.796
6741,0.722795,0.3525,3.5,3.96,0.002746913,0.02752947,866.8523,2517.4863,1.144,0.576,63.09,0.496,0.095,1.839
6742,61.17936,-4.4665,3.69,6.6,0.002639965,0.02752947,923.8679,2580.8586,4.63,4.01,-51.67,0.134,0.027,4.774
6743,1.27096,-0.2603,4.61,3.96,0.002616948,0.02752947,3078.0073,2518.1685,1.738,0.82,18.24,0.528,0.005,1.922
6744,0.5032098,0.7456,5.21,5.94,0.002555612,0.02752947,1627.1606,2515.8403,0.76,0.567,-46.44,0.254,0.821,1.043
6745,1.085959,-0.0895,4.03,5.28,0.002726742,0.02752947,2841.3105,2518.9651,1.699,0.71,36.96,0.582,0.006,1.744
6746,249.7501,-5.9938,3.75,5.28,0.00277129,0.02752947,2991.5393,2730.8157,7.361,6.609,-78.06,0.102,0.03,6.888
6747,3.063369,-1.2155,5.97,5.28,0.002634015,0.02752947,3529.1719,2527.3391,1.607,1.353,24.03,0.158,0.022,3.708
6748,1.412607,-0.3751,6.68,3.5,0.002993864,0.02752947,671.4877,2516.7715,1.558,0.486,21.73,0.688,0.035,3.265
