NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
1099,1.755502,-0.611,8.5,3.96,0.002792893,0.02568904,1923.0842,362.9017,1.637,0.875,23.81,0.466,0.009,3.265
1100,2.382772,-0.9427,8.1,6.6,0.003019821,0.02568904,3491.0076,365.828,1.346,1.005,78.79,0.253,0,3.927
1101,0.8004234,0.2417,3.5,5.28,0.002751652,0.02568904,743.6718,355.5594,0.975,0.479,-8.79,0.509,0.012,1.464
1102,0.7886569,0.2578,3.5,4.62,0.003019821,0.02568904,3359.9683,361.4834,1.214,0.496,63.28,0.591,0.01,1.811
1103,0.4988513,0.7551,3.5,5.94,0.002765704,0.02568904,762.608,358.7778,0.742,0.455,72.54,0.386,0.001,1.186
1104,0.635802,0.4917,3.5,5.28,0.003005445,0.02568904,3287.0242,358.6967,0.746,0.666,-3.39,0.107,0.007,1.136
1105,851.4035,-7.3253,3.5,5.28,0.003019821,0.02568904,3747.8269,526.9026,9.773,8.634,-29.45,0.117,0.035,9.979
1106,1.139181,-0.1415,3.78,3.5,0.00279554,0.02568904,1463.8563,376.6995,2.235,0.955,52.45,0.573,0,2.144
1107,5.306509,-1.812,5.18,5.28,0.002781976,0.02568904,1027.2822,374.8383,2.88,1.746,-21.94,0.394,0,3.893
1108,0.5380469,0.6729,5.13,6.6,0.002937095,0.02568904,3086.6091,359.8167,0.768,0.444,71.16,0.422,0.057,1.278
1109,8.653853,-2.343,3.5,7.26,0.002788069,0.02568904,989.6945,413.2437,3.371,2.535,23.02,0.248,0,4.79
1110,2.582165,-1.03,3.5,3.5,0.002785387,0.02568904,1109.1929,375.7167,2.599,1.24,50.71,0.523,0,2.8
1111,1.059286,-0.0625,3.5,5.94,0.003019821,0.02568904,3392.604,365.7938,1.372,1.022,78.09,0.255,0.002,1.803
1112,2.31001,-0.909,5.25,4.62,0.003008318,0.02568904,3295.2454,368.3834,1.994,1.092,-40.93,0.452,0,3.38
1113,0.8345177,0.1964,3.5,3.5,0.003016416,0.02568904,3319.1182,363.3589,1.063,0.742,72.89,0.302,0.059,1.684
1114,4.710779,-1.6827,3.5,7.26,0.002799835,0.02568904,1777.1243,372.6311,2.997,1.891,-9.27,0.369,0,3.761
1115,6.206099,-1.982,3.5,6.6,0.002788509,0.02568904,1188.6692,375.8329,2.939,2.027,-13.79,0.31,0,3.701
1116,7.381725,-2.1704,3.5,5.28,0.00297642,0.02568904,3198.4126,384.1952,2.789,2.381,-47,0.146,0,3.549
1117,1.098434,-0.1019,3.8,3.5,0.002795083,0.02568904,1599.6705,367.0339,1.252,1.01,-89.75,0.193,0.003,1.636
1118,0.9080085,0.1048,5.6,6.6,0.002343227,0.02568904,157.4142,367.2194,1.156,0.791,-74.8,0.316,0,1.718
1119,0.738493,0.3291,4.2,7.92,0.003019821,0.02568904,3692.9873,361.9853,0.901,0.532,-45.26,0.41,0.016,1.661
1120,16.95722,-3.0734,3.5,7.26,0.002974221,0.02568904,3188.457,402.2909,3.576,3.236,0.82,0.095,0,4.753
1121,9.736912,-2.4711,3.5,5.94,0.002774192,0.02568904,797.5693,382.7649,3.76,2.266,12.31,0.397,0,4.091
1122,4.973593,-1.7417,5.22,5.28,0.002790081,0.02568904,2101.6843,383.0127,2.558,1.733,72.95,0.323,0,4.817
1123,0.818826,0.217,3.5,3.5,0.002839642,0.02568904,2769.9956,364.2049,0.814,0.504,58.39,0.38,0.743,1.547
1124,82.39207,-4.7897,3.5,5.28,0.002874166,0.02568904,2842.7754,455.9837,5.22,4.694,68.66,0.101,0.001,5.972
1125,1386.889,-7.8551,3.5,4.62,0.00281575,0.02568904,1037.5365,530.7365,8.543,8.073,-2.93,0.055,0.046,8.737
1126,3.237792,-1.2756,5.43,5.28,0.00282458,0.02568904,2631.6609,379.0922,2.37,1.468,28.03,0.38,0,3.45
1127,4.62711,-1.6633,7.42,4.62,0.003019821,0.02568904,3402.2378,373.7039,4.01,1.392,7.11,0.653,0,6.712
1128,1.691273,-0.5705,5.4,5.28,0.003019821,0.02568904,3392.3374,370.3284,1.401,1.108,-39.32,0.209,0,2.535
1129,14.35341,-2.8924,4.7,5.94,0.002810636,0.02568904,4157.1758,403.4409,3.539,3.399,77.46,0.04,0,5.033
1130,9.417428,-2.4348,5.66,5.94,0.002786733,0.02568904,952.8609,416.4133,4.289,2.703,-72.48,0.37,0,5.133
1131,3.069246,-1.2176,3.5,4.62,0.002791957,0.02568904,2051.6936,381.8549,2.271,1.637,70.9,0.279,0,2.897
1132,1.669806,-0.5567,7.17,5.94,0.003019821,0.02568904,3385.4653,384.1533,1.294,1.157,-85.74,0.106,0.012,2.364
1133,11.4251,-2.6446,3.5,5.28,0.00280852,0.02568904,1803.5911,405.9056,2.991,2.764,83.62,0.076,0,3.658
1134,0.6368032,0.49,3.5,5.28,0.003019821,0.02568904,3694.0466,367.9751,0.906,0.53,-45.23,0.415,0.006,1.32
1135,1.146755,-0.1487,7.39,5.28,0.002788466,0.02568904,1237.8265,368.8289,0.754,0.572,45.08,0.241,0.969,3.089
1136,2.177732,-0.845,4.69,3.96,0.003019821,0.02568904,3542.814,379.6831,1.932,1.335,36.6,0.309,0,2.542
1137,0.8960229,0.1192,7.9,6.6,0.002947457,0.02568904,3113.9778,372.4764,1.085,0.799,87.92,0.263,0.009,1.723
1138,4.420773,-1.6137,3.5,3.5,0.002791894,0.02568904,2107.3655,394.5656,3.266,1.708,39.3,0.477,0,3.378
1139,0.6291943,0.503,3.5,5.94,0.002982605,0.02568904,3219.0232,368.4861,0.798,0.499,1.83,0.374,0.014,1.271
1140,12.68666,-2.7584,3.5,6.6,0.002781261,0.02568904,860.4125,411.5212,3.353,2.862,-80.32,0.146,0.001,3.718
1141,45.69947,-4.1498,3.5,5.94,0.002813474,0.02568904,1557.5771,434.9694,4.799,4.013,-86.87,0.164,0.001,5.346
1142,28.07379,-3.6208,3.5,5.28,0.002938849,0.02568904,3068.127,432.1949,4.623,4.196,-40.44,0.092,0,5.987
1143,1.250226,-0.2425,7.1,3.5,0.002793425,0.02568904,4183.3159,378.122,1.51,0.913,-43.24,0.395,0,2.294
1144,1.042154,-0.0448,5.87,3.5,0.002517432,0.02568904,393.782,378.083,1.221,0.665,-77.92,0.455,0.01,2.082
1145,0.5534438,0.6423,5.37,8.58,0.002793309,0.02568904,1954.777,370.4031,0.744,0.453,-18.6,0.392,0,1.404
1146,358.7866,-6.3871,3.5,5.28,0.003019821,0.02568904,3480.5381,588.9665,7.019,6.46,-65.94,0.08,0.038,7.3
1147,1.70557,-0.5797,7.17,3.5,0.003019821,0.02568904,3798.5059,379.9987,1.686,0.757,-62.32,0.551,0.504,5.454
1148,2.433911,-0.9658,7.27,5.28,0.002572971,0.02568904,470.1491,383.7152,1.723,0.928,-59.37,0.461,0.001,3.643
