NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
3708,6.788702,-2.0795,6.61,10.56,0.001225435,0.07602261,52.3503,3902.0969,1.746,1.095,-85.76,0.373,0,3.482
3709,15.37529,-2.9671,6.59,8.58,0.002203396,0.07602261,161.4716,3864.8213,2.23,2.077,-80.06,0.069,0,4.969
3710,8.22566,-2.2879,9.01,10.56,0.002421895,0.07602261,3930.0923,3931.6047,1.042,0.746,-74.62,0.284,0,4.848
3711,10.20951,-2.5225,4.99,8.58,0.005326194,0.07602261,679.7031,3841.394,1.898,1.801,-57.87,0.051,0,3.391
3712,4.373675,-1.6021,6.59,6.6,0.001904562,0.07602261,3806.9155,3869.1606,1.346,0.773,83.91,0.426,0,2.953
3713,3.899451,-1.4775,6.1,10.56,0.007866093,0.07602261,1567.0804,3864.6919,1.437,0.856,-77.23,0.404,0,2.472
3714,38.25515,-3.9567,3.92,5.94,0.001440791,0.07602261,433.309,3793.9807,2.693,2.602,75.55,0.034,0,3.57
3715,11.88324,-2.6873,4.56,7.26,0.002790886,0.07602261,401.2069,3843.3455,2.287,1.804,-17.79,0.211,0,3.509
3716,4.688025,-1.6775,5,8.58,0.003579538,0.07602261,1352.4753,3853.2734,1.523,1.127,34.27,0.26,0,2.903
3717,104.9669,-5.0526,4.35,6.6,0.003771892,0.07602261,2061.0835,3891.9219,6.047,4.401,-69.24,0.272,0,8.037
3718,14.80554,-2.9261,4.72,6.6,0.004265868,0.07602261,839.7072,3831.4006,2.125,2.03,-15.23,0.045,0,3.379
3719,26.07022,-3.5404,4.91,6.6,0.00368393,0.07602261,1627.0845,3877.7971,3.291,2.497,-20.81,0.241,0,4.746
3720,15.72508,-2.9915,5.03,7.92,0.003132947,0.07602261,1143.1147,3829.9688,2.376,2.11,-17.01,0.112,0,4.216
3721,3.404698,-1.3302,8.12,7.26,0.003646663,0.07602261,2579.4553,3825.3049,1.391,0.397,10.07,0.715,0,3.353
3722,3.447543,-1.3438,9.92,9.24,0.004054373,0.07602261,354.4943,3798.5017,0.508,0.492,-45.05,0.031,0.001,3.047
3723,3.169077,-1.2523,9.06,10.56,0.001645032,0.07602261,2842.7881,3862.6113,0.752,0.452,17.77,0.399,0,3.215
3724,7.392975,-2.172,6.93,10.56,0.00404525,0.07602261,2782.1904,3883.908,1.577,1.122,-33.46,0.289,0,3.725
3725,10.69815,-2.5733,7.58,10.56,0.002275815,0.07602261,3794.9104,3794.9495,1.968,1.307,51.05,0.336,0,5.164
3726,7.34758,-2.1654,7.19,10.56,0.006932787,0.07602261,1345.9827,3736.4973,1.688,1.057,15.32,0.374,0,3.666
3727,11.77737,-2.6776,6.48,8.58,0.002693634,0.07602261,2376.7131,3888.3159,2.359,1.604,14.34,0.32,0,4.47
3728,2.602456,-1.0385,7.34,5.28,0.003379642,0.07602261,2017.8673,3844.5056,1.269,0.617,-30.31,0.513,0,2.407
3729,8.41311,-2.3124,7.82,10.56,0.003576553,0.07602261,1441.7264,3745.175,1.66,0.915,-87.48,0.449,0,4.742
3730,4.391728,-1.6066,7.9,10.56,0.005305561,0.07602261,640.9868,3895.8457,1.162,0.539,56.29,0.536,0,3.392
3731,9.908263,-2.49,5.41,6.6,0.00263043,0.07602261,1622.678,3799.6472,2.092,1.679,-18.83,0.197,0,3.711
3732,16.48387,-3.0426,5.1,8.58,0.002876497,0.07602261,2465.5933,3839.2107,2.587,2.082,-78.58,0.195,0,4.436
3733,3.852677,-1.4644,7.62,7.26,0.001377927,0.07602261,9.0137,3825.3159,1.04,0.65,54.03,0.374,0,2.947
3734,16.95057,-3.073,5.67,7.26,0.005289657,0.07602261,702.3871,3853.0886,2.736,1.921,-14.19,0.298,0,4.553
3735,37.82551,-3.9445,6.54,9.24,0.006106491,0.07602261,1304.7498,3797.6956,5.462,2.171,51.31,0.602,0,8.743
3736,5.670918,-1.8841,5.73,7.92,0.005210367,0.07602261,274.3692,3713.6646,1.7,1.183,45.17,0.304,0,2.96
3737,64.44324,-4.5229,5.86,10.56,0.003549389,0.07602261,808.3243,3919.3491,4.414,3.372,-2.45,0.236,0,7.704
3738,292.5943,-6.1657,3.91,5.94,0.006064457,0.07602261,577.0988,3759.783,7.864,5.506,63.22,0.3,0,8.923
3739,3.255203,-1.2814,8,3.5,0.003042798,0.07602261,3729.8352,3784.0164,1.055,0.544,-10.91,0.484,0.002,2.75
3740,39.5792,-3.9937,5.68,8.58,0.002913132,0.07602261,3640.1936,3745.3293,3.538,3.053,-70.95,0.137,0,6.433
