NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
2362,2577.0566,3363.3892,4.377272,25.397,1.158,0.555,8.14,10.56,3.305,0.521,-28.97,0.000840519,0.0815822,4,0.001
2363,2406.9314,3243.0352,8.323094,24.6993,1.962,1.334,6.37,5.94,3.505,0.32,29.2,0.002391478,0.0815822,26,0
2364,2736.1697,3218.9919,6.982479,24.89,1.483,0.776,7.96,10.56,3.961,0.477,69.98,0.001636577,0.0815822,13,0
2365,1018.2487,3452.4453,23.57894,23.5687,2.717,1.928,6.54,10.56,6.157,0.291,-49.44,0.002219719,0.0815822,54,0
2366,22.8563,3259.3374,25.36649,23.4893,2.561,2.269,5.3,7.26,4.303,0.114,-6.62,0.00255817,0.0815822,79,0
2367,555.2214,3392.4583,19.55271,23.772,2.201,1.711,7.39,10.56,6.03,0.222,-82.28,0.001182333,0.0815822,41,0
2368,2572.5405,3193.4465,8.276589,24.7054,1.73,1.269,6.76,10.56,3.648,0.266,29.57,0.002331122,0.0815822,18,0
2369,572.1384,3389.8596,30.1993,23.3,2.682,2.594,6.12,7.92,5.552,0.033,23.56,0.0009346599,0.0815822,87,0
2370,2613.9851,3485.6079,1.657892,26.4511,1.046,0.439,5.53,4.62,1.729,0.58,-64.84,0.002761138,0.0815822,5,0
2371,1099.8037,3859.856,8.369529,24.6932,1.915,0.951,7.21,5.94,4.196,0.503,-55.28,0.003003274,0.0815822,20,0.001
2372,3551.3494,3377.0017,86.92885,22.1521,4.026,3.2,5.14,9.24,5.65,0.205,43.29,0.003069455,0.0815822,226,0
2373,105.7901,3338.563,37.2056,23.0735,2.716,2.652,4.93,7.26,4.314,0.024,17.9,0.004564971,0.0815822,113,0
2374,4037.4492,3395.9087,7.761931,24.7751,1.377,1.241,6.92,10.56,3.849,0.099,0.31,0.003629887,0.0815822,16,0
2375,1855.7838,3390.5581,2.147278,26.1703,0.733,0.453,7.31,7.26,2.01,0.382,20.76,0.0007507212,0.0815822,4,0
2376,3868.2761,3360.0288,11.79323,24.3209,1.662,1.409,7.51,10.56,5.018,0.152,83.29,0.001809573,0.0815822,24,0.001
2377,503.0265,3271.5103,3.686185,25.5836,0.938,0.512,8.49,9.24,3.088,0.454,39.97,0.002962926,0.0815822,6,0
