NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
4067,15.48015,-2.9744,5.98,9.9,0.01085067,0.07687208,351.652,3633.8154,2.877,1.718,-59.73,0.403,0,5.118
4068,182.8526,-5.6553,4.31,5.94,0.01105091,0.07687208,3330.9812,3638.8979,6.56,5.077,-9.96,0.226,0,8.301
4069,2.578453,-1.0284,7.87,10.56,0.008431632,0.07687208,1900.9746,3702.2078,0.82,0.513,54.31,0.375,0,2.326
4070,20.2407,-3.2656,5.48,7.92,0.01028914,0.07687208,3014.8101,3713.6755,2.39,2.176,80.08,0.089,0,4.166
4071,3.826632,-1.457,7.92,10.56,0.01007466,0.07687208,937.064,3715.8599,0.936,0.463,36.45,0.505,0,3.086
4072,3.848905,-1.4633,7.81,3.96,0.01060686,0.07687208,619.8358,3880.5591,1.044,0.851,62.38,0.185,0,2.875
4073,3.106447,-1.2307,7.95,7.26,0.00795878,0.07687208,1948.838,3683.3125,1.122,0.515,-54.38,0.541,0,2.503
4074,14.0725,-2.8709,8.08,10.56,0.01138674,0.07687208,3291.1343,3773.4329,2.055,1.21,-48.82,0.411,0.001,7.076
4075,111.7482,-5.1206,4.55,5.94,0.01151678,0.07687208,3614.4717,3639.7761,4.343,4.037,3.94,0.071,0,5.904
4076,28.30059,-3.6295,4.92,7.26,0.01449322,0.07687208,2717.98,3959.2917,2.59,2.342,-7.4,0.096,0,3.765
4077,11.57107,-2.6584,5.62,9.9,0.0103947,0.07687208,2197.1277,3690.844,1.969,1.809,85.41,0.081,0,4.029
4078,14.17568,-2.8789,5.87,10.56,0.01167947,0.07687208,1228.4139,3671.0022,2.061,1.921,-31.49,0.068,0,4.248
4079,5.756101,-1.9003,7.54,3.5,0.009993158,0.07687208,3773.5669,3713.2356,1.297,0.867,-59.91,0.331,0,3.616
4080,6.640174,-2.0554,5.33,7.92,0.01128531,0.07687208,3611.4026,3606.217,1.988,1.131,-88.6,0.431,0,3.49
4081,1243.171,-7.7363,3.5,5.28,0.01206092,0.07687208,284.9756,3676.8958,7.734,7.098,-54.43,0.082,0.034,8.12
4082,26.8751,-3.5734,5.31,8.58,0.01165691,0.07687208,466.1063,3654.1174,3.539,2.272,52.93,0.358,0,5.708
4083,9.115532,-2.3995,3.5,8.58,0.01044337,0.07687208,911.7621,3704.948,1.813,1.686,-39.44,0.07,0,2.905
4084,7.823103,-2.2334,8.2,10.56,0.009064442,0.07687208,2630.199,3689.9358,1.188,0.889,59.94,0.252,0,4.629
4085,37.91883,-3.9471,5.1,6.6,0.01034158,0.07687208,3019.2598,3433.9817,3.677,3.045,-33.8,0.172,0,5.485
4086,48.43341,-4.2129,3.81,5.94,0.01075689,0.07687208,826.3704,3698.6211,2.854,2.708,52.76,0.051,0,3.751
4087,27.7321,-3.6075,3.95,7.26,0.01099036,0.07687208,1325.157,3636.4053,3.828,2.5,-69.05,0.347,0,5.258
4088,5.388649,-1.8287,7.91,10.56,0.01063693,0.07687208,3293.5291,3415.2473,1.388,0.879,22.74,0.367,0,3.647
4089,35.34873,-3.8709,4.61,9.24,0.01129759,0.07687208,3244.0142,3533.1082,3.357,2.8,-56.82,0.166,0,5.24
4090,3.644496,-1.4041,6.76,10.56,0.0115587,0.07687208,3682.7283,3614.7593,1.395,0.664,-79.05,0.524,0,2.718
4091,8.302078,-2.298,8.11,10.56,0.008475126,0.07687208,1925.6132,3631.8303,1.303,1,-10.04,0.233,0,4.492
4092,6.074835,-1.9588,8.21,3.5,0.01051643,0.07687208,882.2012,3647.5894,1.489,0.768,-24.42,0.484,0,4.047
4093,9.065351,-2.3935,6.57,9.24,0.01203001,0.07687208,221.3435,3636.1133,1.761,1.417,39,0.195,0,4.027
4094,12.37777,-2.7316,7.24,10.56,0.01019147,0.07687208,954.6428,3677.2834,1.819,1.508,-49.66,0.171,0,4.641
4095,14.90338,-2.9332,5.93,10.56,0.009889005,0.07687208,2828.7769,3688.083,2.595,1.538,-89.99,0.407,0,4.533
4096,115.254,-5.1541,4.5,7.92,0.009694081,0.07687208,3802.2822,3962.4487,5.691,4.067,-21.8,0.285,0,7.788
4097,2.642705,-1.0551,8.14,7.26,0.006886502,0.07687208,1070.6108,3532.1897,1.006,0.384,4.91,0.619,0,2.505
4098,168.8306,-5.5686,4.27,6.6,0.009863821,0.07687208,1090.476,3676.3335,6.131,5.132,-19.93,0.163,0,7.96
4099,8.903806,-2.3739,7.31,10.56,0.01253759,0.07687208,574.5556,3554.2024,2.172,1.043,14.28,0.52,0,4.382
4100,17.59557,-3.1135,7.1,10.56,0.01161177,0.07687208,1294.6436,3681.8962,2.636,1.53,-38.44,0.42,0,6.428
4101,698.292,-7.1101,3.92,5.94,0.01173681,0.07687208,3483.0925,3563.6182,8.791,7.522,1.36,0.144,0.001,10.03
4102,14.12045,-2.8746,6.26,9.9,0.008322272,0.07687208,3867.6221,3570.145,1.937,1.77,3.35,0.086,0,4.247
4103,4.482392,-1.6288,7.98,10.56,0.01066792,0.07687208,2932.2939,3634.5725,1.331,0.664,-74.2,0.501,0,3.135
4104,7.118838,-2.131,3.95,6.6,0.00931486,0.07687208,1942.7777,3174.1174,1.982,1.566,-72.24,0.21,0,2.912
4105,139.0228,-5.3577,3.89,6.6,0.01239526,0.07687208,187.6653,3693.5642,6.748,4.318,-47.71,0.36,0,7.997
4106,15.90734,-3.004,5.97,9.24,0.009007969,0.07687208,863.1312,3113.4534,2.684,1.944,-47.84,0.276,0,4.943
4107,8.350423,-2.3043,7.34,10.56,0.01125755,0.07687208,126.8136,3653.8025,1.826,1.315,86.54,0.28,0,4.402
4108,15.0469,-2.9436,5.07,8.58,0.01087578,0.07687208,1415.5431,3599.3848,2.234,1.942,22.46,0.131,0,3.827
4109,9.936908,-2.4931,6.63,10.56,0.01007867,0.07687208,879.7358,3592.8682,1.65,1.396,-66.18,0.154,0,4.571
4110,72.99097,-4.6582,5.21,5.94,0.009099232,0.07687208,1478.9485,3658.4238,3.418,3.15,48.24,0.078,0,5.053
4111,10.66255,-2.5697,6.41,7.92,0.008568223,0.07687208,1857.045,3680.1758,1.994,1.592,57.71,0.202,0,4.343
4112,2.981634,-1.1861,6.96,6.6,0.007382079,0.07687208,2140.3347,4085.4424,1.016,0.638,83.78,0.372,0,2.366
4113,110.0676,-5.1041,3.92,7.26,0.01121769,0.07687208,2020.092,3445.9844,6.01,4.074,-45.62,0.322,0,7.323
4114,30.12463,-3.6973,4.61,7.92,0.00918794,0.07687208,3935.9355,3636.3254,2.504,2.382,60.64,0.049,0,3.762
4115,1.738295,-0.6003,6.24,8.58,0.008897827,0.07687208,2848.4351,3565.28,0.992,0.481,-81.93,0.516,0,1.787
4116,3.359599,-1.3157,9.07,7.92,0.01184526,0.07687208,4123.5264,3667.5044,0.818,0.448,70.25,0.452,0,3.192
4117,6.382818,-2.0125,8.27,10.56,0.01112144,0.07687208,1145.4143,3901.9519,1.305,0.833,-23.15,0.361,0,3.902
4118,85.2616,-4.8269,5.34,9.24,0.01139428,0.07687208,3670.1819,3561.5786,4.977,4.059,-85.97,0.185,0,8.023
4119,5.402996,-1.8316,6.64,10.56,0.008279136,0.07687208,2404.0664,3642.9395,1.558,0.741,-9.07,0.525,0,3.366
4120,6.921295,-2.1005,7.45,10.56,0.01126371,0.07687208,3607.8291,3605.176,1.389,0.941,77.22,0.323,0,4.451
4121,5.092518,-1.7673,5.34,9.9,0.01101256,0.07687208,715.2835,3600.9587,1.353,1.203,65.45,0.111,0,2.84
4122,5.279699,-1.8065,6.32,9.9,0.01259763,0.07687208,4198.1606,3688.4226,1.713,0.951,-88.58,0.445,0,3.133
4123,36.71786,-3.9122,5.3,7.26,0.01359361,0.07687208,51.0968,3537.1831,2.983,2.533,-14.71,0.151,0,4.728
4124,9.228921,-2.4129,8.08,3.5,0.009659474,0.07687208,1854.9381,3578.3774,1.578,1.038,59.86,0.342,0,4.407
4125,9.887928,-2.4878,5.37,9.24,0.006724796,0.07687208,1113.2205,3585.2598,2.301,1.495,-61.64,0.35,0,3.748
4126,13.1225,-2.795,8.09,10.56,0.01209688,0.07687208,248.8679,3662.7705,1.764,1.464,-31.99,0.17,0,6.453
4127,152.9573,-5.4614,4.23,7.26,0.01029493,0.07687208,1282.9702,3637.8418,5.63,4.922,-74.87,0.126,0,7.785
4128,30.34588,-3.7052,5.2,6.6,0.01054434,0.07687208,761.4492,3637.8682,3.112,2.421,49.31,0.222,0,4.749
4129,14.61035,-2.9117,5.63,7.26,0.01025287,0.07687208,2297.5371,3710.7859,2.369,1.974,-13.58,0.167,0,3.931
4130,5.05233,-1.7587,7.3,10.56,0.01149411,0.07687208,3222.9917,3633.7568,1.562,0.668,-6.45,0.572,0,3.316
4131,6.269154,-1.993,7.22,6.6,0.01207735,0.07687208,3175.0491,3623.1213,1.334,1.104,-67.97,0.172,0,3.313
4132,8.909368,-2.3746,7.31,10.56,0.01108345,0.07687208,3411.4775,3616.8804,1.613,1.14,80.67,0.293,0,4.246
4133,11.37133,-2.6395,6.39,9.24,0.01133605,0.07687208,3500.9148,3607.9702,1.815,1.717,30.75,0.054,0,3.612
4134,5.746643,-1.8985,8.79,10.56,0.01188955,0.07687208,30.443,3668.7717,1.682,0.495,-22.21,0.706,0,3.784
4135,8.143513,-2.277,5.97,8.58,0.008919279,0.07687208,3884.2288,3660.866,1.649,1.335,-10.55,0.19,0,3.224
4136,24.69103,-3.4813,4.73,5.94,0.01274794,0.07687208,3345.0291,3284.6082,3.764,2.301,1.96,0.389,0,5.147
4137,6.912437,-2.0991,6.8,10.56,0.01237348,0.07687208,586.0358,3622.5967,1.493,1.318,-38.78,0.117,0,3.81
4138,50.96963,-4.2683,3.54,6.6,0.009486979,0.07687208,1717.5922,3575.4243,4.334,2.982,-74.37,0.312,0,5.249
4139,30.44865,-3.7089,4.52,5.94,0.009935839,0.07687208,2287.3999,3149.1716,3.145,2.621,-4.38,0.167,0,4.379
4140,3.300054,-1.2963,7.32,10.56,0.01189429,0.07687208,154.7308,3676.0054,0.999,0.61,24.21,0.39,0.001,2.772
4141,3.758666,-1.4376,8.3,6.6,0.01191087,0.07687208,3075.874,3543.2917,0.968,0.684,69.05,0.293,0,3.117
4142,2.845443,-1.1354,7.67,9.24,0.01458319,0.07687208,31.4967,3554.967,0.846,0.699,4.55,0.174,0,2.33
4143,4.060576,-1.5215,7.27,10.56,0.01127901,0.07687208,3258.7151,3666.5945,1.185,0.844,-31.7,0.288,0,2.954
4144,67.30624,-4.5701,4.54,5.94,0.01208682,0.07687208,1870.6063,3461.6907,4.299,3.327,-13.29,0.226,0,5.38
4145,18.95031,-3.194,6.77,10.56,0.009913314,0.07687208,884.743,3585.4868,2.268,2.002,-22.53,0.117,0,5.626
4146,27.57847,-3.6014,6.23,10.56,0.007035281,0.07687208,3881.0276,3470.7476,2.743,2.167,31.85,0.21,0,5.374
