NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1689,1681.0554,2349.249,6.555406,24.9585,1.312,0.751,8.53,10.56,4.304,0.428,-59.4,0.0009823032,0.0815596,10,0
1690,225.3635,2346.2991,7.503428,24.8119,1.188,1,8.43,10.56,4.438,0.158,6.5,0.002147987,0.0815596,11,0
1691,3823.7593,2358.2546,15.97333,23.9915,1.963,1.532,7.65,10.56,5.713,0.22,33.57,0.001697659,0.0815596,26,0
1692,3865.4373,2353.6155,17.74198,23.8775,2.064,1.127,7.94,10.56,6.123,0.454,26.98,0.001672793,0.0815596,23,0
1693,2432.9304,2362.8684,18.53069,23.8303,2.54,1.859,6.77,6.6,5.327,0.268,2.23,0.0003473705,0.0815596,50,0
1694,485.7395,2346.5435,4.218289,25.4372,1.316,0.487,8.02,10.56,2.943,0.63,4.97,0.0007244338,0.0815596,8,0
1695,3789.1921,2378.9187,35.17429,23.1344,3.406,2.958,5.34,8.58,6.256,0.132,-44.9,0.002657204,0.0815596,117,0
1696,1083.6798,2389.1052,55.23892,22.6444,3.369,3.242,5.03,6.6,5.251,0.038,32.42,0.00125364,0.0815596,172,0
1697,3152.2888,2356.8032,4.561821,25.3522,1.12,0.679,8,10.56,3.44,0.394,-17.73,0.000290968,0.0815596,8,0
1698,2220.1794,2381.9377,17.59313,23.8866,2.723,1.871,6.67,10.56,5.044,0.313,45.54,0.001755341,0.0815596,53,0
1699,2774.6277,2422.291,261.1218,20.9579,5.36,5.02,3.85,5.94,6.542,0.063,28.59,0.000353589,0.0815596,568,0.001
1700,1774.7311,2392.2964,40.27602,22.9874,3.404,2.952,4.77,7.92,5.451,0.133,-54.07,0.001000605,0.0815596,138,0
1701,1798.3137,2368.3425,10.55201,24.4417,1.626,1.061,8.05,10.56,5.225,0.348,75.77,0.0005663806,0.0815596,9,0
1702,3035.6394,2371.8855,14.0734,24.129,2.053,1.362,7.37,10.56,4.992,0.337,-13.96,0.0006928814,0.0815596,27,0
1703,2789.4634,2390.6367,29.92044,23.3101,2.727,2.542,5.18,7.92,4.739,0.068,-18.99,-0.0001394669,0.0815596,94,0
1704,342.1072,2519.4771,819.2228,19.7165,10.468,6.646,3.62,5.94,10.363,0.365,76.9,0.001258635,0.0815596,1576,0.001
1705,304.4299,2380.3286,13.49122,24.1749,1.997,1.838,6.46,9.24,4.342,0.079,-34.71,0.002001123,0.0815596,41,0
1706,2053.4011,2376.5803,7.607476,24.7969,1.275,1.203,7.68,10.56,4.581,0.056,-66.78,0.0001724279,0.0815596,11,0
1707,3628.3396,2372.1555,2.403175,26.048,1.222,0.405,6.93,10.56,2.241,0.668,57.82,-7.327073e-05,0.0815596,5,0
1708,1600.8186,2372.3879,2.334791,26.0794,0.999,0.378,7.44,3.96,2.409,0.622,85.27,0.001023976,0.0815596,4,0.001
1709,1571.0337,2368.5217,3.889413,25.5253,0.814,0.5,8.71,9.24,2.962,0.387,0.13,0.001132695,0.0815596,6,0
1710,5.6273,2467.3296,33.35066,23.1922,3.443,2.536,3.86,5.94,4.371,0.263,89.1,0.0007461194,0.0815596,134,0
1711,1452.7471,2388.124,13.35189,24.1861,1.578,1.171,8.38,10.56,5.506,0.258,-42.93,0.0005084032,0.0815596,13,0
1712,120.2069,2387.8005,4.698575,25.3201,1.554,0.851,6.54,6.6,3.189,0.452,89.07,0.0003282429,0.0815596,11,0
1713,3668.2732,2469.2422,236.664,21.0647,5.336,4.918,4.13,5.94,6.634,0.078,67.52,0.0003014559,0.0815596,526,0.001
1714,1491.7899,2391.8867,15.1867,24.0463,2.147,1.262,8.29,10.56,6.803,0.412,13.88,0.0009007393,0.0815596,14,0
