NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1102,2673.1628,1547.7006,6.059649,25.0439,1.519,0.93,7.64,9.9,3.633,0.388,21.18,0.0001185183,0.08148756,11,0
1103,3186.4709,1551.3398,9.442163,24.5623,1.843,1.48,6.58,10.56,3.961,0.197,1.18,-6.847194e-05,0.08148756,25,0
1104,1125.6594,1552.488,7.372579,24.831,1.432,1.226,7,10.56,3.947,0.144,-62.06,0.0007664249,0.08148756,15,0
1105,2965.2756,1564.092,22.83,23.6037,2.215,1.822,6.76,10.56,5.701,0.178,-50.26,-0.0002497379,0.08148756,49,0
1106,2374.303,1548.6968,3.594748,25.6108,1.13,0.453,8.12,3.5,2.87,0.599,-30.18,0.0005963711,0.08148756,5,0
1107,1980.1504,1570.3799,22.25844,23.6313,2.303,1.96,6.26,7.26,4.699,0.149,73.81,0.0002762728,0.08148756,55,0
1108,3473.4365,1557.5332,4.449895,25.3791,1.157,0.647,8.77,10.56,3.462,0.441,59.57,0.0004419865,0.08148756,7,0
1109,1206.9326,1592.8654,41.32418,22.9595,3.317,2.47,4.92,7.92,4.639,0.255,88.41,0.0009139689,0.08148756,124,0
1110,3088.27,1569.5458,11.62243,24.3368,2.003,1.413,6.72,10.56,4.703,0.294,88.14,1.497128e-05,0.08148756,26,0
1111,1334.8121,1564.2424,11.12526,24.3842,1.999,1.468,6.21,10.56,4.04,0.266,-12.03,0.00028617,0.08148756,30,0
1112,838.0378,1638.1677,176.1877,21.3851,5.415,3.907,5,6.6,6.676,0.279,41.02,0.0005425766,0.08148756,412,0.001
1113,2482.7944,1558.5653,2.805421,25.88,0.773,0.441,8.4,10.56,2.548,0.43,20.91,0.0006430647,0.08148756,3,0.019
1114,2589.8242,1591.4368,49.50489,22.7634,3.016,2.832,4.62,6.6,4.133,0.061,-64.86,0.0001779092,0.08148756,143,0
1115,1068.5148,1619.3796,123.6434,21.7696,4.799,3.598,4.56,7.92,5.761,0.25,-52.8,-0.0009049179,0.08148756,328,0.001
1116,3290.0049,1564.2855,4.104375,25.4669,0.745,0.669,8.05,4.62,3.444,0.102,-1.44,-7.287109e-05,0.08148756,6,0
1117,1769.9294,1572.1703,5.702191,25.1099,1.409,1.092,7.39,5.28,3.204,0.225,-83.83,0.0001782067,0.08148756,15,0
1118,1882.0417,1683.9667,237.4917,21.0609,5.042,4.669,4.52,6.6,6.176,0.074,-29.69,-0.0005566737,0.08148756,509,0.002
1119,2485.636,1577.496,4.932535,25.2673,1.047,0.707,8.01,10.56,3.474,0.325,-82.3,0.0004194515,0.08148756,6,0
1120,3112.8909,1583.8077,21.09372,23.6896,2.288,1.575,7.32,10.56,6.675,0.312,-56.84,-0.0001394155,0.08148756,41,0
1121,3101.9031,1573.8978,9.991212,24.501,1.29,0.87,8.45,10.56,5.456,0.326,7.79,-0.0001139006,0.08148756,10,0
1122,841.2415,1580.6484,9.551459,24.5498,1.597,1.42,7.58,10.56,4.465,0.111,-34.42,0.0005317739,0.08148756,21,0
1123,2440.6101,1578.792,5.88291,25.076,1.26,0.827,7.44,10.56,3.828,0.343,-89.73,0.0002777201,0.08148756,11,0
1124,3642.7258,1573.8983,5.11255,25.2284,1.493,0.638,8.85,7.92,3.443,0.573,4.13,-0.000273748,0.08148756,9,0
1125,353.3351,1603.91,33.90788,23.1742,2.749,2.316,5.6,9.24,4.427,0.157,-42.39,2.263785e-05,0.08148756,95,0
1126,3821.7603,1585.3887,9.191751,24.5915,1.452,0.677,8.64,7.26,5.276,0.534,84.95,0.001541394,0.08148756,10,0
1127,1182.4845,1656.8431,313.6744,20.7588,5.471,5.181,4.42,6.6,6.492,0.053,83.36,0.0009815125,0.08148756,664,0.004
1128,3565.197,1589.2799,7.388639,24.8286,1.87,1.092,6.77,7.26,4.003,0.416,10.11,-0.000212015,0.08148756,21,0
1129,2055.1995,1596.6169,13.69568,24.1585,1.734,1.727,6.37,10.56,4.312,0.004,-19.54,-0.0002527296,0.08148756,34,0
1130,2294.8535,1622.7782,62.93068,22.5028,3.824,3.271,5.11,8.58,6.109,0.145,-25.18,0.000231019,0.08148756,182,0
1131,1722.4949,1594.0771,7.462508,24.8178,1.87,1.17,6.55,9.9,3.504,0.374,4.82,-0.0005585339,0.08148756,20,0
1132,3622.1902,1597.7118,5.064005,25.2388,1.179,0.705,7.82,10.56,3.614,0.402,-88.09,-0.0001281414,0.08148756,10,0
1133,3352.4253,1621.7574,39.24865,23.0154,2.851,2.662,5.52,8.58,4.929,0.066,75.35,-0.0005358749,0.08148756,112,0
1134,3768.5713,1603.9707,11.91314,24.3099,2.104,1.604,5.54,7.92,3.509,0.238,2.92,0.0008786097,0.08148756,43,0
1135,1175.2769,1625.7413,45.22396,22.8616,2.803,2.614,6.8,10.56,7.307,0.068,65.49,0.001191973,0.08148756,96,0
1136,80.1634,1618.1482,18.85976,23.8112,2.532,1.954,5.79,10.56,4.498,0.228,-69.57,0.0001072504,0.08148756,63,0
1137,1496.3618,1606.1537,5.394999,25.17,1.121,0.743,8.47,10.56,3.464,0.338,-42.28,5.406697e-05,0.08148756,8,0
1138,3071.1287,1619.9789,18.28605,23.8447,2.212,2.129,5.76,7.26,4.199,0.038,-62.19,-7.570031e-05,0.08148756,62,0
1139,652.0406,1614.4612,16.49102,23.9569,1.91,1.617,7.55,10.56,5.885,0.153,26.36,-0.0002633098,0.08148756,32,0
1140,3892.7751,1607.571,3.753866,25.5638,1.325,0.436,8.46,7.92,3.158,0.671,31.61,0.0009201128,0.08148756,4,0
1141,1362.3097,1618.9238,7.468132,24.817,1.372,1.115,7.05,5.28,3.45,0.188,-22.94,0.0002894781,0.08148756,16,0
1142,917.4088,1630.4742,15.95248,23.9929,2.145,1.998,5.45,9.9,4.182,0.069,-38.87,0.0003161909,0.08148756,53,0
1143,1401.4131,1630.0546,11.01206,24.3953,1.714,1.475,6.72,10.56,4.565,0.14,-75.67,-1.145423e-05,0.08148756,26,0
1144,3937.7236,1633.8378,18.92117,23.8076,2.235,1.766,6.3,10.56,4.406,0.21,36.18,-0.0005506924,0.08148756,53,0
1145,171.2472,1729.6392,709.7991,19.8722,6.651,6.269,3.82,5.28,6.575,0.058,71.61,0.0009716193,0.08148756,1187,0.031
1146,1602.29,1663.1653,39.20234,23.0167,3.83,2.396,7.07,10.56,8.913,0.374,-68.33,3.468798e-05,0.08148756,82,0
1147,3323.99,1638.6013,9.108266,24.6014,1.62,1.471,6.95,10.56,3.845,0.092,61.69,-0.0006042815,0.08148756,25,0
1148,3874.436,1634.955,5.739407,25.1028,1.294,0.67,8.56,3.5,3.721,0.482,51.41,-0.0006309922,0.08148756,8,0
