NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
479,165.6369,681.7073,70.78233,22.3752,3.147,3.098,4.28,5.94,4.209,0.015,-65.12,0.002122019,0.08232503,180,0.001
480,2296.2507,663.9446,15.48025,24.0256,2.109,1.599,7.02,10.56,5.155,0.242,-65.53,-0.0001166552,0.08232503,31,0
481,3602.8594,663.6376,11.08953,24.3877,2.158,1.742,6.43,7.92,4.119,0.193,20.33,0.001942373,0.08232503,32,0
482,1431.7609,675.5583,29.54365,23.3238,2.918,2.441,6.35,10.56,6.347,0.163,-68.89,0.0001226225,0.08232503,83,0
483,1553.4802,691.9379,48.51253,22.7854,3.575,3.368,5.45,7.92,6.395,0.058,-55.21,0.0004343966,0.08232503,164,0
484,4123.2866,674.7123,28.23227,23.3731,2.827,2.547,5.29,7.92,5.096,0.099,19.48,0.0009926354,0.08232503,87,0
485,1402.8894,672.688,14.10669,24.1264,2.095,1.438,6.85,10.56,4.945,0.314,-73.45,0.0001226225,0.08232503,30,0
486,1115.0725,694.7385,60.81593,22.54,5.768,2.788,6.28,10.56,10.025,0.517,-8.16,-0.0001982108,0.08232503,163,0
487,3607.0535,678.8262,21.23558,23.6823,2.475,2.047,5.11,7.26,4.003,0.173,-26.74,0.002111876,0.08232503,65,0
488,3240.7522,781.3683,86.41445,22.1585,4.987,3.969,5.06,7.26,7.673,0.204,-39.76,0.0001331643,0.08232503,278,0
489,1431.6703,703.556,37.09236,23.0768,3.853,2.608,6.28,7.92,7.216,0.323,-71.76,0.0001226225,0.08232503,89,0
490,3074.2285,697.4489,35.617,23.1209,3.714,2.363,5.93,9.9,6.74,0.364,66.35,0.0002986121,0.08232503,102,0
491,1066.6677,689.6852,18.16731,23.8518,2.847,1.295,7.69,10.56,6.315,0.545,-16.95,0.001559845,0.08232503,21,0
492,2528.6731,676.2997,16.15943,23.9789,2.308,1.561,6.56,10.56,5.016,0.324,-28.96,0.0007582638,0.08232503,40,0
493,2587.2505,722.1666,85.08829,22.1753,5.369,3.336,3.61,6.6,5.945,0.379,82.3,0.000522803,0.08232503,271,0
494,3338.6714,686.9946,24.15869,23.5423,3.152,2.229,5.54,9.24,5.423,0.293,-28.27,0.0006630032,0.08232503,82,0
495,2834.0205,684.2527,10.77308,24.4192,1.895,1.767,6.91,10.56,4.616,0.067,-65.12,0.0008529968,0.08232503,23,0
496,373.9276,883.0947,1970.427,18.7636,7.615,6.799,3.5,5.28,7.851,0.107,-19.41,0.001923264,0.08232503,1677,0.042
497,2723.3423,697.5999,37.78473,23.0567,2.982,2.765,4.82,7.26,4.532,0.073,-48.67,-8.767215e-05,0.08232503,121,0
498,1767.7719,695.2326,24.77263,23.5151,2.561,2.248,6.16,9.9,5.534,0.122,70.43,0.002210597,0.08232503,70,0
499,3635.1458,673.6666,4.026226,25.4878,1.077,0.415,8.73,9.24,3.692,0.615,12.98,0.002286404,0.08232503,4,0
500,2495.2034,699.1907,21.60582,23.6636,2.312,1.945,7.42,10.56,6.686,0.159,88.56,0.0001596178,0.08232503,41,0
501,1832.9784,714.7377,42.46682,22.9299,4.118,2.625,5.37,7.26,5.745,0.362,45.6,0.003174722,0.08232503,138,0
502,468.9409,715.837,50.68081,22.7379,3.639,3.309,5.6,10.56,6.835,0.091,20.11,-0.0007239413,0.08232503,145,0
503,1938.0859,748.0593,107.0485,21.926,4.564,4.311,4.52,7.26,6.764,0.055,-3.94,0.0005076448,0.08232503,310,0
504,465.362,706.6454,22.85586,23.6025,2.645,2.117,6.06,8.58,5.127,0.199,-72.91,-0.0004690523,0.08232503,65,0
505,575.1323,737.2191,103.6887,21.9607,5.185,3.808,4.49,7.26,6.777,0.266,51.45,0.001217584,0.08232503,311,0
506,1536.3878,705.2289,22.36096,23.6263,2.554,2.112,6.26,10.56,5.332,0.173,34.75,0.0003274704,0.08232503,61,0
507,1799.4827,707.2618,13.70793,24.1576,2.318,2.128,4.8,7.92,3.982,0.082,60.93,0.002748321,0.08232503,55,0
508,1106.3938,708.6326,26.9901,23.422,3.062,2.095,6.82,10.56,7.542,0.316,-3.66,8.539669e-05,0.08232503,56,0
509,364.0829,747.6146,14.22142,24.1176,2.562,1.217,7.57,10.56,5.836,0.525,-69.09,0.001257104,0.08232503,28,0
510,1607.5874,690.7998,3.00666,25.8048,0.738,0.453,8.7,10.56,2.638,0.386,70.78,-1.131053e-05,0.08232503,4,0.005
